station_id,count_start_station_id,station_name
3186,35183,"Grove St PATH"
3203,18182,"Hamilton Park"
3183,16813,"Exchange Place"
3195,15625,"Sip Ave"
3202,13462,"Newport PATH"
3639,10554,Harborside
3267,9448,"Morris Canal"
3276,9128,"Marin Light Rail"
3199,9096,"Newport Pkwy"
3211,8312,"Newark Ave"
3187,8300,"Warren St"
3213,8041,"Van Vorst Park"
3184,7847,"Paulus Hook"
3185,7744,"City Hall"
3269,7075,"Brunswick & 6th"
3270,6926,"Jersey & 6th St"
3272,6907,"Jersey & 3rd"
3638,6484,"Washington St"
3192,6349,"Liberty Light Rail"
3209,6320,"Brunswick St"
3275,6253,"Columbus Drive"
3214,5747,"Essex Light Rail"
3273,5721,"Manila & 1st"
3278,4956,"Monmouth and 6th"
3279,4911,"Dixon Mills"
3194,4893,"McGinley Square"
3640,4883,"Journal Square"
3207,4701,"Oakland Ave"
3205,4418,"JC Medical Center"
3210,3732,"Pershing Field"
3681,3608,"Grand St"
3225,3552,"Baldwin at Montgomery"
3481,2897,"York St"
3206,2752,Hilltop
3280,2415,"Astor Place"
3281,2337,"Leonard Gordon Park"
3198,2267,"Heights Elevator"
3193,2236,"Lincoln Park"
3212,2201,"Christ Hospital"
3678,2131,"Fairmount Ave"
3483,2075,"Montgomery St"
3679,2065,"Bergen Ave"
3196,1882,"Riverview Park"
3220,1778,"5 Corners Library"
3268,1688,"Lafayette Park"
3277,1233,"Communipaw & Berry Lane"
3201,1067,"Dey St"
3677,993,"Glenwood Ave"
3191,876,"Union St"
3694,293,"Jackson Square"
3190,155,"Garfield Ave Station"
3188,49,NJCU
3200,47,"MLK Light Rail"
3189,42,"West Side Light Rail"
3426,36,"JCBS Depot"
3217,34,"Bayside Park"
3274,24,"Bethune Center"
3271,19,"Danforth Light Rail"
3216,14,"Columbia Park"
